"@timestamp","user.name","source.ip","source.geo.country_name","host.hostname","event.action","event.outcome","event.category","suricata.eve.event_type","related.ip","related.user","related.hash","process.name","process.command_line","destination.ip","network.protocol","destination.address","http.request.method","http.response.status_code","suricata.eve.http.http_content_type","url.query","url.domain","url.original"
"Aug 5, 2026 @ 03:34:08.374","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54","-","10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:34:07.359","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54","-","10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:34:06.840","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54","-","10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:34:06.829","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54",ftp,"10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:34:06.416","-","10.10.1.10","-","-","-","-",network,ftp,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54",ftp,"10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:34:06.375","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54","-","10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:34:06.360","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54","-","10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:34:06.358","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54","-","10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:34:06.358","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54","-","10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:34:06.324","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54","-","10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:34:05.381","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54","-","10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:34:05.344","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54","-","10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:34:05.344","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54","-","10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:34:05.343","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54","-","10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:34:05.343","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54","-","10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:34:04.319","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54","-","10.10.1.54","-","-","-","-","-","-"
"Aug 5, 2026 @ 03:34:04.318","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.54","-","-","-","-","10.10.1.54","-","10.10.1.54","-","-","-","-","-","-"
