"@timestamp","user.name","source.ip","source.geo.country_name","host.hostname","event.action","event.outcome","event.category","suricata.eve.event_type","related.ip","related.user","related.hash","process.name","process.command_line","destination.ip","destination.address","network.protocol","destination.port","http.request.method","http.response.status_code","suricata.eve.http.http_content_type","url.query","url.domain","url.original"
"Aug 5, 2026 @ 06:26:20.514","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",ssh,22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:57:04.930","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-","-","-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:49.312","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",rfb,5901,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:08.615","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",rfb,5901,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:08.577","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",tls,5901,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:07.695","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",tls,5901,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:07.665","-","10.10.1.10","-","-","-","-",network,tls,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",tls,5901,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:07.615","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",ssh,22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:06.506","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",ssh,22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:06.497","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",rfb,5901,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:06.481","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",ssh,22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:05.436","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",rfb,5901,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:04.402","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:03.388","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:03.313","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",1,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:03.313","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:02.517","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",tls,5901,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:02.407","-","10.10.1.10","-","-","-","-",network,tls,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",tls,5901,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:02.305","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:01.383","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",1,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:01.348","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:01.335","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",ssh,22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:01.319","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:00.359","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:00.301","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",rfb,5901,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:00.299","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:00.288","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:53:00.288","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",1,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:59.445","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",tls,5901,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:59.445","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:59.333","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",1,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:59.331","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:59.314","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",ssh,22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:59.299","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",ssh,22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:59.279","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:58.360","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:58.320","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:58.284","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",ssh,22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:58.269","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:58.268","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",1,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:58.260","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:58.260","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",1,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:57.329","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:57.291","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:57.286","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",ssh,22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:57.246","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:57.246","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:57.242","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:57.242","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:57.127","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:57.127","-","10.10.1.10","-","-","-","-",network,ssh,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",ssh,22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:57.092","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",1,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:56.118","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:56.094","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:56.094","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:56.077","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:56.071","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:56.067","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",1,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:55.158","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:55.158","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:55.105","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",rfb,5901,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:55.104","-","10.10.1.10","-","-","-","-",network,rfb,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58",rdp,5901,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:55.061","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:54.068","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:54.065","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:54.065","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:54.034","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",1,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:53.057","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",7070,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:53.057","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",1042,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:53.057","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",2013,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:53.057","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",2100,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:53.057","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",2099,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:53.057","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",1022,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:53.057","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",1033,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:53.057","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",1137,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:53.057","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",52848,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:53.057","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",3261,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:53.052","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:53.051","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:53.037","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",1,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:53.019","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:52.073","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",53,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:52.070","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",25,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:52.061","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",3389,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:52.035","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",19101,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:52.019","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",8383,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:52.019","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",1328,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:52.019","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",1935,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:52.019","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",1244,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:52.019","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",9040,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:52.019","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",6003,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:52.019","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",3527,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:52.019","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",2001,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:52.019","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",648,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:52.019","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",1723,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:52.019","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",27356,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:52.019","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",1311,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:52.019","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",49153,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:52.018","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",55600,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:52.018","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",16016,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:52.018","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",7103,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:52.008","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:52.008","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",9666,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:52.008","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",24444,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:52.003","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",6510,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:51.972","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:51.972","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",1,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:51.968","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:51.022","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",2394,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:51.022","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:51.022","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",636,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:51.022","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",1141,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:51.015","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",20828,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:50.996","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",3306,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:50.994","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",8088,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:50.994","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",5900,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:50.994","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",545,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:50.994","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",464,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:50.994","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",9103,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:50.994","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",555,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:50.994","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",13456,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:50.994","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",1050,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:50.994","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",5050,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:50.994","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",2043,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:50.994","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",1055,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:50.994","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",1132,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:50.993","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",5087,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:50.989","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:50.988","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",4998,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:50.952","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",1,"-","-","-","-","-","-"
"Aug 5, 2026 @ 05:52:50.913","-","10.10.1.10","-","-","-","-",network,flow,"10.10.1.10, 10.10.1.58","-","-","-","-","10.10.1.58","10.10.1.58","-",22,"-","-","-","-","-","-"
